sala_origen,sala_destino,edificio_origen,edificio_destino,piso_origen,piso_destino,distancia,tipo_transicion,costo_final,costo
r1,r1,E1,E1,1,1,0.0,misma_sala,0.0,0.0
r1,r2,E1,E2,1,1,70.0,cambio_edificio,13.0,13.0
r1,r3,E1,E3,1,1,140.0,cambio_edificio,20.0,20.0
r1,r4,E1,E4,1,1,70.0,cambio_edificio,13.0,13.0
r1,r5,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r1,r6,E1,E2,1,1,78.0,cambio_edificio,13.8,13.8
r1,r7,E1,E3,1,1,148.0,cambio_edificio,20.8,20.8
r1,r8,E1,E4,1,1,70.4557,cambio_edificio,13.0456,13.0456
r1,r9,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r1,r10,E1,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r1,r11,E1,E3,1,1,140.2284,cambio_edificio,20.0228,20.0228
r1,r12,E1,E4,1,1,78.0,cambio_edificio,13.8,13.8
r1,r13,E1,E1,1,2,4.0,distinto_piso,2.4,2.4
r1,r14,E1,E2,1,2,70.1142,cambio_edificio,13.0114,13.0114
r1,r15,E1,E3,1,2,140.0571,cambio_edificio,20.0057,20.0057
r1,r16,E1,E4,1,2,70.1142,cambio_edificio,13.0114,13.0114
r1,r17,E1,E1,1,2,8.9443,distinto_piso,2.8944,2.8944
r1,r18,E1,E2,1,2,78.1025,cambio_edificio,13.8102,13.8102
r1,r19,E1,E3,1,2,148.054,cambio_edificio,20.8054,20.8054
r1,r20,E1,E4,1,2,70.5691,cambio_edificio,13.0569,13.0569
r2,r1,E2,E1,1,1,70.0,cambio_edificio,13.0,13.0
r2,r2,E2,E2,1,1,0.0,misma_sala,0.0,0.0
r2,r3,E2,E3,1,1,70.0,cambio_edificio,13.0,13.0
r2,r4,E2,E4,1,1,98.9949,cambio_edificio,15.8995,15.8995
r2,r5,E2,E1,1,1,62.0,cambio_edificio,12.2,12.2
r2,r6,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r2,r7,E2,E3,1,1,78.0,cambio_edificio,13.8,13.8
r2,r8,E2,E4,1,1,93.5094,cambio_edificio,15.3509,15.3509
r2,r9,E2,E1,1,1,70.4557,cambio_edificio,13.0456,13.0456
r2,r10,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r2,r11,E2,E3,1,1,70.4557,cambio_edificio,13.0456,13.0456
r2,r12,E2,E4,1,1,104.8046,cambio_edificio,16.4805,16.4805
r2,r13,E2,E1,1,2,70.1142,cambio_edificio,13.0114,13.0114
r2,r14,E2,E2,1,2,4.0,distinto_piso,2.4,2.4
r2,r15,E2,E3,1,2,70.1142,cambio_edificio,13.0114,13.0114
r2,r16,E2,E4,1,2,99.0757,cambio_edificio,15.9076,15.9076
r2,r17,E2,E1,1,2,62.1289,cambio_edificio,12.2129,12.2129
r2,r18,E2,E2,1,2,8.9443,distinto_piso,2.8944,2.8944
r2,r19,E2,E3,1,2,78.1025,cambio_edificio,13.8102,13.8102
r2,r20,E2,E4,1,2,93.5949,cambio_edificio,15.3595,15.3595
r3,r1,E3,E1,1,1,140.0,cambio_edificio,20.0,20.0
r3,r2,E3,E2,1,1,70.0,cambio_edificio,13.0,13.0
r3,r3,E3,E3,1,1,0.0,misma_sala,0.0,0.0
r3,r4,E3,E4,1,1,156.5248,cambio_edificio,21.6525,21.6525
r3,r5,E3,E1,1,1,132.0,cambio_edificio,19.2,19.2
r3,r6,E3,E2,1,1,62.0,cambio_edificio,12.2,12.2
r3,r7,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r3,r8,E3,E4,1,1,149.4122,cambio_edificio,20.9412,20.9412
r3,r9,E3,E1,1,1,140.2284,cambio_edificio,20.0228,20.0228
r3,r10,E3,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r3,r11,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r3,r12,E3,E4,1,1,160.2623,cambio_edificio,22.0262,22.0262
r3,r13,E3,E1,1,2,140.0571,cambio_edificio,20.0057,20.0057
r3,r14,E3,E2,1,2,70.1142,cambio_edificio,13.0114,13.0114
r3,r15,E3,E3,1,2,4.0,distinto_piso,2.4,2.4
r3,r16,E3,E4,1,2,156.5759,cambio_edificio,21.6576,21.6576
r3,r17,E3,E1,1,2,132.0606,cambio_edificio,19.2061,19.2061
r3,r18,E3,E2,1,2,62.1289,cambio_edificio,12.2129,12.2129
r3,r19,E3,E3,1,2,8.9443,distinto_piso,2.8944,2.8944
r3,r20,E3,E4,1,2,149.4657,cambio_edificio,20.9466,20.9466
r4,r1,E4,E1,1,1,70.0,cambio_edificio,13.0,13.0
r4,r2,E4,E2,1,1,98.9949,cambio_edificio,15.8995,15.8995
r4,r3,E4,E3,1,1,156.5248,cambio_edificio,21.6525,21.6525
r4,r4,E4,E4,1,1,0.0,misma_sala,0.0,0.0
r4,r5,E4,E1,1,1,70.4557,cambio_edificio,13.0456,13.0456
r4,r6,E4,E2,1,1,104.8046,cambio_edificio,16.4805,16.4805
r4,r7,E4,E3,1,1,163.7193,cambio_edificio,22.3719,22.3719
r4,r8,E4,E4,1,1,8.0,mismo_piso,1.3,1.3
r4,r9,E4,E1,1,1,62.0,cambio_edificio,12.2,12.2
r4,r10,E4,E2,1,1,93.5094,cambio_edificio,15.3509,15.3509
r4,r11,E4,E3,1,1,153.1143,cambio_edificio,21.3114,21.3114
r4,r12,E4,E4,1,1,8.0,mismo_piso,1.3,1.3
r4,r13,E4,E1,1,2,70.1142,cambio_edificio,13.0114,13.0114
r4,r14,E4,E2,1,2,99.0757,cambio_edificio,15.9076,15.9076
r4,r15,E4,E3,1,2,156.5759,cambio_edificio,21.6576,21.6576
r4,r16,E4,E4,1,2,4.0,distinto_piso,2.4,2.4
r4,r17,E4,E1,1,2,70.5691,cambio_edificio,13.0569,13.0569
r4,r18,E4,E2,1,2,104.8809,cambio_edificio,16.4881,16.4881
r4,r19,E4,E3,1,2,163.7681,cambio_edificio,22.3768,22.3768
r4,r20,E4,E4,1,2,8.9443,distinto_piso,2.8944,2.8944
r5,r1,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r5,r2,E1,E2,1,1,62.0,cambio_edificio,12.2,12.2
r5,r3,E1,E3,1,1,132.0,cambio_edificio,19.2,19.2
r5,r4,E1,E4,1,1,70.4557,cambio_edificio,13.0456,13.0456
r5,r5,E1,E1,1,1,0.0,misma_sala,0.0,0.0
r5,r6,E1,E2,1,1,70.0,cambio_edificio,13.0,13.0
r5,r7,E1,E3,1,1,140.0,cambio_edificio,20.0,20.0
r5,r8,E1,E4,1,1,70.0,cambio_edificio,13.0,13.0
r5,r9,E1,E1,1,1,11.3137,mismo_piso,1.6314,1.6314
r5,r10,E1,E2,1,1,62.514,cambio_edificio,12.2514,12.2514
r5,r11,E1,E3,1,1,132.2422,cambio_edificio,19.2242,19.2242
r5,r12,E1,E4,1,1,78.4092,cambio_edificio,13.8409,13.8409
r5,r13,E1,E1,1,2,8.9443,distinto_piso,2.8944,2.8944
r5,r14,E1,E2,1,2,62.1289,cambio_edificio,12.2129,12.2129
r5,r15,E1,E3,1,2,132.0606,cambio_edificio,19.2061,19.2061
r5,r16,E1,E4,1,2,70.5691,cambio_edificio,13.0569,13.0569
r5,r17,E1,E1,1,2,4.0,distinto_piso,2.4,2.4
r5,r18,E1,E2,1,2,70.1142,cambio_edificio,13.0114,13.0114
r5,r19,E1,E3,1,2,140.0571,cambio_edificio,20.0057,20.0057
r5,r20,E1,E4,1,2,70.1142,cambio_edificio,13.0114,13.0114
r6,r1,E2,E1,1,1,78.0,cambio_edificio,13.8,13.8
r6,r2,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r6,r3,E2,E3,1,1,62.0,cambio_edificio,12.2,12.2
r6,r4,E2,E4,1,1,104.8046,cambio_edificio,16.4805,16.4805
r6,r5,E2,E1,1,1,70.0,cambio_edificio,13.0,13.0
r6,r6,E2,E2,1,1,0.0,misma_sala,0.0,0.0
r6,r7,E2,E3,1,1,70.0,cambio_edificio,13.0,13.0
r6,r8,E2,E4,1,1,98.9949,cambio_edificio,15.8995,15.8995
r6,r9,E2,E1,1,1,78.4092,cambio_edificio,13.8409,13.8409
r6,r10,E2,E2,1,1,11.3137,mismo_piso,1.6314,1.6314
r6,r11,E2,E3,1,1,62.514,cambio_edificio,12.2514,12.2514
r6,r12,E2,E4,1,1,110.3087,cambio_edificio,17.0309,17.0309
r6,r13,E2,E1,1,2,78.1025,cambio_edificio,13.8102,13.8102
r6,r14,E2,E2,1,2,8.9443,distinto_piso,2.8944,2.8944
r6,r15,E2,E3,1,2,62.1289,cambio_edificio,12.2129,12.2129
r6,r16,E2,E4,1,2,104.8809,cambio_edificio,16.4881,16.4881
r6,r17,E2,E1,1,2,70.1142,cambio_edificio,13.0114,13.0114
r6,r18,E2,E2,1,2,4.0,distinto_piso,2.4,2.4
r6,r19,E2,E3,1,2,70.1142,cambio_edificio,13.0114,13.0114
r6,r20,E2,E4,1,2,99.0757,cambio_edificio,15.9076,15.9076
r7,r1,E3,E1,1,1,148.0,cambio_edificio,20.8,20.8
r7,r2,E3,E2,1,1,78.0,cambio_edificio,13.8,13.8
r7,r3,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r7,r4,E3,E4,1,1,163.7193,cambio_edificio,22.3719,22.3719
r7,r5,E3,E1,1,1,140.0,cambio_edificio,20.0,20.0
r7,r6,E3,E2,1,1,70.0,cambio_edificio,13.0,13.0
r7,r7,E3,E3,1,1,0.0,misma_sala,0.0,0.0
r7,r8,E3,E4,1,1,156.5248,cambio_edificio,21.6525,21.6525
r7,r9,E3,E1,1,1,148.2161,cambio_edificio,20.8216,20.8216
r7,r10,E3,E2,1,1,78.4092,cambio_edificio,13.8409,13.8409
r7,r11,E3,E3,1,1,11.3137,mismo_piso,1.6314,1.6314
r7,r12,E3,E4,1,1,167.2961,cambio_edificio,22.7296,22.7296
r7,r13,E3,E1,1,2,148.054,cambio_edificio,20.8054,20.8054
r7,r14,E3,E2,1,2,78.1025,cambio_edificio,13.8102,13.8102
r7,r15,E3,E3,1,2,8.9443,distinto_piso,2.8944,2.8944
r7,r16,E3,E4,1,2,163.7681,cambio_edificio,22.3768,22.3768
r7,r17,E3,E1,1,2,140.0571,cambio_edificio,20.0057,20.0057
r7,r18,E3,E2,1,2,70.1142,cambio_edificio,13.0114,13.0114
r7,r19,E3,E3,1,2,4.0,distinto_piso,2.4,2.4
r7,r20,E3,E4,1,2,156.5759,cambio_edificio,21.6576,21.6576
r8,r1,E4,E1,1,1,70.4557,cambio_edificio,13.0456,13.0456
r8,r2,E4,E2,1,1,93.5094,cambio_edificio,15.3509,15.3509
r8,r3,E4,E3,1,1,149.4122,cambio_edificio,20.9412,20.9412
r8,r4,E4,E4,1,1,8.0,mismo_piso,1.3,1.3
r8,r5,E4,E1,1,1,70.0,cambio_edificio,13.0,13.0
r8,r6,E4,E2,1,1,98.9949,cambio_edificio,15.8995,15.8995
r8,r7,E4,E3,1,1,156.5248,cambio_edificio,21.6525,21.6525
r8,r8,E4,E4,1,1,0.0,misma_sala,0.0,0.0
r8,r9,E4,E1,1,1,62.514,cambio_edificio,12.2514,12.2514
r8,r10,E4,E2,1,1,87.6812,cambio_edificio,14.7681,14.7681
r8,r11,E4,E3,1,1,145.8355,cambio_edificio,20.5836,20.5836
r8,r12,E4,E4,1,1,11.3137,mismo_piso,1.6314,1.6314
r8,r13,E4,E1,1,2,70.5691,cambio_edificio,13.0569,13.0569
r8,r14,E4,E2,1,2,93.5949,cambio_edificio,15.3595,15.3595
r8,r15,E4,E3,1,2,149.4657,cambio_edificio,20.9466,20.9466
r8,r16,E4,E4,1,2,8.9443,distinto_piso,2.8944,2.8944
r8,r17,E4,E1,1,2,70.1142,cambio_edificio,13.0114,13.0114
r8,r18,E4,E2,1,2,99.0757,cambio_edificio,15.9076,15.9076
r8,r19,E4,E3,1,2,156.5759,cambio_edificio,21.6576,21.6576
r8,r20,E4,E4,1,2,4.0,distinto_piso,2.4,2.4
r9,r1,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r9,r2,E1,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r9,r3,E1,E3,1,1,140.2284,cambio_edificio,20.0228,20.0228
r9,r4,E1,E4,1,1,62.0,cambio_edificio,12.2,12.2
r9,r5,E1,E1,1,1,11.3137,mismo_piso,1.6314,1.6314
r9,r6,E1,E2,1,1,78.4092,cambio_edificio,13.8409,13.8409
r9,r7,E1,E3,1,1,148.2161,cambio_edificio,20.8216,20.8216
r9,r8,E1,E4,1,1,62.514,cambio_edificio,12.2514,12.2514
r9,r9,E1,E1,1,1,0.0,misma_sala,0.0,0.0
r9,r10,E1,E2,1,1,70.0,cambio_edificio,13.0,13.0
r9,r11,E1,E3,1,1,140.0,cambio_edificio,20.0,20.0
r9,r12,E1,E4,1,1,70.0,cambio_edificio,13.0,13.0
r9,r13,E1,E1,1,2,8.9443,distinto_piso,2.8944,2.8944
r9,r14,E1,E2,1,2,70.5691,cambio_edificio,13.0569,13.0569
r9,r15,E1,E3,1,2,140.2854,cambio_edificio,20.0285,20.0285
r9,r16,E1,E4,1,2,62.1289,cambio_edificio,12.2129,12.2129
r9,r17,E1,E1,1,2,12.0,distinto_piso,3.2,3.2
r9,r18,E1,E2,1,2,78.5111,cambio_edificio,13.8511,13.8511
r9,r19,E1,E3,1,2,148.27,cambio_edificio,20.827,20.827
r9,r20,E1,E4,1,2,62.6418,cambio_edificio,12.2642,12.2642
r10,r1,E2,E1,1,1,70.4557,cambio_edificio,13.0456,13.0456
r10,r2,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r10,r3,E2,E3,1,1,70.4557,cambio_edificio,13.0456,13.0456
r10,r4,E2,E4,1,1,93.5094,cambio_edificio,15.3509,15.3509
r10,r5,E2,E1,1,1,62.514,cambio_edificio,12.2514,12.2514
r10,r6,E2,E2,1,1,11.3137,mismo_piso,1.6314,1.6314
r10,r7,E2,E3,1,1,78.4092,cambio_edificio,13.8409,13.8409
r10,r8,E2,E4,1,1,87.6812,cambio_edificio,14.7681,14.7681
r10,r9,E2,E1,1,1,70.0,cambio_edificio,13.0,13.0
r10,r10,E2,E2,1,1,0.0,misma_sala,0.0,0.0
r10,r11,E2,E3,1,1,70.0,cambio_edificio,13.0,13.0
r10,r12,E2,E4,1,1,98.9949,cambio_edificio,15.8995,15.8995
r10,r13,E2,E1,1,2,70.5691,cambio_edificio,13.0569,13.0569
r10,r14,E2,E2,1,2,8.9443,distinto_piso,2.8944,2.8944
r10,r15,E2,E3,1,2,70.5691,cambio_edificio,13.0569,13.0569
r10,r16,E2,E4,1,2,93.5949,cambio_edificio,15.3595,15.3595
r10,r17,E2,E1,1,2,62.6418,cambio_edificio,12.2642,12.2642
r10,r18,E2,E2,1,2,12.0,distinto_piso,3.2,3.2
r10,r19,E2,E3,1,2,78.5111,cambio_edificio,13.8511,13.8511
r10,r20,E2,E4,1,2,87.7724,cambio_edificio,14.7772,14.7772
r11,r1,E3,E1,1,1,140.2284,cambio_edificio,20.0228,20.0228
r11,r2,E3,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r11,r3,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r11,r4,E3,E4,1,1,153.1143,cambio_edificio,21.3114,21.3114
r11,r5,E3,E1,1,1,132.2422,cambio_edificio,19.2242,19.2242
r11,r6,E3,E2,1,1,62.514,cambio_edificio,12.2514,12.2514
r11,r7,E3,E3,1,1,11.3137,mismo_piso,1.6314,1.6314
r11,r8,E3,E4,1,1,145.8355,cambio_edificio,20.5836,20.5836
r11,r9,E3,E1,1,1,140.0,cambio_edificio,20.0,20.0
